Loaded project: 白色孤岛
Trial entry: Start 3,3 -> 试炼间 -> A1 6,11
Auto features: pickup=on, battle=on
Goal: win event; topK=3; maxExpansions=20000
Perf live: {"expandedPerSec":7.33,"generatedPerSec":35.28,"applyActionMsPerAction":1.5077,"enumerateActionsMsPerState":126.0055,"stateKeyMsPerState":0.0003,"cloneMsPerAction":0.0046,"sortMsPerLoop":0.0127,"rssMb":223.2,"heapUsedMb":72.7,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":7.34,"generatedPerSec":35.17,"applyActionMsPerAction":1.5034,"enumerateActionsMsPerState":125.8685,"stateKeyMsPerState":0.0003,"cloneMsPerAction":0.0046,"sortMsPerLoop":0.0131,"rssMb":224.9,"heapUsedMb":36,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":7.3,"generatedPerSec":35.2,"applyActionMsPerAction":1.5129,"enumerateActionsMsPerState":126.4831,"stateKeyMsPerState":0.0003,"cloneMsPerAction":0.0046,"sortMsPerLoop":0.0139,"rssMb":224.5,"heapUsedMb":38.6,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":7.29,"generatedPerSec":35,"applyActionMsPerAction":1.5201,"enumerateActionsMsPerState":126.6886,"stateKeyMsPerState":0.0003,"cloneMsPerAction":0.0046,"sortMsPerLoop":0.0128,"rssMb":224.6,"heapUsedMb":30.9,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":7.31,"generatedPerSec":34.64,"applyActionMsPerAction":1.5199,"enumerateActionsMsPerState":126.5079,"stateKeyMsPerState":0.0003,"cloneMsPerAction":0.0046,"sortMsPerLoop":0.0132,"rssMb":225.2,"heapUsedMb":53.9,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":7.31,"generatedPerSec":34.66,"applyActionMsPerAction":1.516,"enumerateActionsMsPerState":126.5208,"stateKeyMsPerState":0.0003,"cloneMsPerAction":0.0046,"sortMsPerLoop":0.0136,"rssMb":225.4,"heapUsedMb":68.7,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":7.31,"generatedPerSec":34.63,"applyActionMsPerAction":1.5114,"enumerateActionsMsPerState":126.4375,"stateKeyMsPerState":0.0003,"cloneMsPerAction":0.0046,"sortMsPerLoop":0.014,"rssMb":225.1,"heapUsedMb":23.3,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":7.28,"generatedPerSec":34.75,"applyActionMsPerAction":1.5186,"enumerateActionsMsPerState":127.011,"stateKeyMsPerState":0.0003,"cloneMsPerAction":0.0046,"sortMsPerLoop":0.0144,"rssMb":224.6,"heapUsedMb":65.4,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":7.26,"generatedPerSec":34.8,"applyActionMsPerAction":1.5201,"enumerateActionsMsPerState":127.3037,"stateKeyMsPerState":0.0003,"cloneMsPerAction":0.0046,"sortMsPerLoop":0.0147,"rssMb":225.6,"heapUsedMb":42.5,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":7.26,"generatedPerSec":34.65,"applyActionMsPerAction":1.5155,"enumerateActionsMsPerState":127.3036,"stateKeyMsPerState":0.0003,"cloneMsPerAction":0.0047,"sortMsPerLoop":0.0155,"rssMb":223.9,"heapUsedMb":51,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":7.27,"generatedPerSec":34.76,"applyActionMsPerAction":1.5068,"enumerateActionsMsPerState":127.2351,"stateKeyMsPerState":0.0002,"cloneMsPerAction":0.0047,"sortMsPerLoop":0.0157,"rssMb":224.1,"heapUsedMb":61.7,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":7.24,"generatedPerSec":34.86,"applyActionMsPerAction":1.5166,"enumerateActionsMsPerState":127.5662,"stateKeyMsPerState":0.0002,"cloneMsPerAction":0.0047,"sortMsPerLoop":0.0163,"rssMb":224.2,"heapUsedMb":93.5,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":7.22,"generatedPerSec":34.9,"applyActionMsPerAction":1.521,"enumerateActionsMsPerState":127.9795,"stateKeyMsPerState":0.0002,"cloneMsPerAction":0.0047,"sortMsPerLoop":0.0146,"rssMb":225.6,"heapUsedMb":48.6,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":7.19,"generatedPerSec":34.91,"applyActionMsPerAction":1.5214,"enumerateActionsMsPerState":128.3693,"stateKeyMsPerState":0.0002,"cloneMsPerAction":0.0047,"sortMsPerLoop":0.0135,"rssMb":225.7,"heapUsedMb":34.8,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":7.2,"generatedPerSec":34.77,"applyActionMsPerAction":1.523,"enumerateActionsMsPerState":128.3538,"stateKeyMsPerState":0.0002,"cloneMsPerAction":0.0047,"sortMsPerLoop":0.0126,"rssMb":225.8,"heapUsedMb":37.5,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":7.21,"generatedPerSec":34.44,"applyActionMsPerAction":1.523,"enumerateActionsMsPerState":128.2891,"stateKeyMsPerState":0.0002,"cloneMsPerAction":0.0047,"sortMsPerLoop":0.0112,"rssMb":226.4,"heapUsedMb":38.4,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":7.21,"generatedPerSec":34.3,"applyActionMsPerAction":1.5199,"enumerateActionsMsPerState":128.2579,"stateKeyMsPerState":0.0002,"cloneMsPerAction":0.0047,"sortMsPerLoop":0.0107,"rssMb":225.2,"heapUsedMb":94.1,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":7.24,"generatedPerSec":34.09,"applyActionMsPerAction":1.5145,"enumerateActionsMsPerState":127.76,"stateKeyMsPerState":0.0002,"cloneMsPerAction":0.0047,"sortMsPerLoop":0.0102,"rssMb":224.9,"heapUsedMb":96.6,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":7.25,"generatedPerSec":34.16,"applyActionMsPerAction":1.5066,"enumerateActionsMsPerState":127.6949,"stateKeyMsPerState":0.0002,"cloneMsPerAction":0.0047,"sortMsPerLoop":0.0104,"rssMb":224.5,"heapUsedMb":65.5,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":7.24,"generatedPerSec":34.2,"applyActionMsPerAction":1.5093,"enumerateActionsMsPerState":127.9031,"stateKeyMsPerState":0.0002,"cloneMsPerAction":0.0047,"sortMsPerLoop":0.0105,"rssMb":225.8,"heapUsedMb":64.3,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":7.23,"generatedPerSec":34.14,"applyActionMsPerAction":1.5127,"enumerateActionsMsPerState":128.0888,"stateKeyMsPerState":0.0002,"cloneMsPerAction":0.0047,"sortMsPerLoop":0.0107,"rssMb":236.6,"heapUsedMb":44.4,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":7.21,"generatedPerSec":34.24,"applyActionMsPerAction":1.5133,"enumerateActionsMsPerState":128.4307,"stateKeyMsPerState":0.0002,"cloneMsPerAction":0.0047,"sortMsPerLoop":0.011,"rssMb":235.9,"heapUsedMb":51,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":7.21,"generatedPerSec":34.19,"applyActionMsPerAction":1.5136,"enumerateActionsMsPerState":128.4105,"stateKeyMsPerState":0.0002,"cloneMsPerAction":0.0047,"sortMsPerLoop":0.0113,"rssMb":235.5,"heapUsedMb":87.3,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":7.19,"generatedPerSec":34.17,"applyActionMsPerAction":1.5163,"enumerateActionsMsPerState":128.8035,"stateKeyMsPerState":0.0002,"cloneMsPerAction":0.0047,"sortMsPerLoop":0.011,"rssMb":238.1,"heapUsedMb":109.4,"eventLoopUtilization":0}
