Loaded project: 白色孤岛
Trial entry: Start 3,3 -> 试炼间 -> A1 6,11
Auto features: pickup=on, battle=on
Goal: win event; topK=1; maxExpansions=2000
Perf live: {"expandedPerSec":2.92,"generatedPerSec":24.49,"applyActionMsPerAction":0.9559,"enumerateActionsMsPerState":133.6338,"stateKeyMsPerState":0.0003,"cloneMsPerAction":0.0043,"sortMsPerLoop":0.1669,"rssMb":146.7,"heapUsedMb":41.5,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":2.91,"generatedPerSec":24.44,"applyActionMsPerAction":0.9594,"enumerateActionsMsPerState":133.8956,"stateKeyMsPerState":0.0003,"cloneMsPerAction":0.0044,"sortMsPerLoop":0.1669,"rssMb":146.1,"heapUsedMb":33.6,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":2.91,"generatedPerSec":24.46,"applyActionMsPerAction":0.9598,"enumerateActionsMsPerState":134.1271,"stateKeyMsPerState":0.0003,"cloneMsPerAction":0.0044,"sortMsPerLoop":0.1669,"rssMb":145.7,"heapUsedMb":51.7,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":2.93,"generatedPerSec":24.51,"applyActionMsPerAction":0.961,"enumerateActionsMsPerState":134.3638,"stateKeyMsPerState":0.0003,"cloneMsPerAction":0.0044,"sortMsPerLoop":0.1682,"rssMb":147.3,"heapUsedMb":36.5,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":2.93,"generatedPerSec":24.47,"applyActionMsPerAction":0.9624,"enumerateActionsMsPerState":134.5005,"stateKeyMsPerState":0.0003,"cloneMsPerAction":0.0045,"sortMsPerLoop":0.1729,"rssMb":148.3,"heapUsedMb":40.3,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":2.92,"generatedPerSec":24.52,"applyActionMsPerAction":0.9648,"enumerateActionsMsPerState":134.8478,"stateKeyMsPerState":0.0003,"cloneMsPerAction":0.0045,"sortMsPerLoop":0.1729,"rssMb":146.5,"heapUsedMb":66.8,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":2.91,"generatedPerSec":24.5,"applyActionMsPerAction":0.9715,"enumerateActionsMsPerState":135.2881,"stateKeyMsPerState":0.0003,"cloneMsPerAction":0.0045,"sortMsPerLoop":0.1729,"rssMb":155.7,"heapUsedMb":58.6,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":2.93,"generatedPerSec":24.52,"applyActionMsPerAction":0.9746,"enumerateActionsMsPerState":135.7506,"stateKeyMsPerState":0.0003,"cloneMsPerAction":0.0045,"sortMsPerLoop":0.1781,"rssMb":157.8,"heapUsedMb":36,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":2.93,"generatedPerSec":24.68,"applyActionMsPerAction":0.9731,"enumerateActionsMsPerState":136.2635,"stateKeyMsPerState":0.0003,"cloneMsPerAction":0.0045,"sortMsPerLoop":0.1828,"rssMb":156.8,"heapUsedMb":55.8,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":2.94,"generatedPerSec":24.69,"applyActionMsPerAction":0.9795,"enumerateActionsMsPerState":136.7653,"stateKeyMsPerState":0.0003,"cloneMsPerAction":0.0045,"sortMsPerLoop":0.1828,"rssMb":157.2,"heapUsedMb":43.5,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":2.95,"generatedPerSec":24.67,"applyActionMsPerAction":0.9832,"enumerateActionsMsPerState":137.472,"stateKeyMsPerState":0.0003,"cloneMsPerAction":0.0046,"sortMsPerLoop":0.1897,"rssMb":157.7,"heapUsedMb":39.7,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":2.94,"generatedPerSec":24.65,"applyActionMsPerAction":0.9891,"enumerateActionsMsPerState":138.0438,"stateKeyMsPerState":0.0003,"cloneMsPerAction":0.0046,"sortMsPerLoop":0.1897,"rssMb":157.3,"heapUsedMb":37.1,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":2.96,"generatedPerSec":24.78,"applyActionMsPerAction":0.9908,"enumerateActionsMsPerState":138.5986,"stateKeyMsPerState":0.0003,"cloneMsPerAction":0.0046,"sortMsPerLoop":0.1942,"rssMb":158.2,"heapUsedMb":39.8,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":3,"generatedPerSec":24.58,"applyActionMsPerAction":0.9813,"enumerateActionsMsPerState":138.1505,"stateKeyMsPerState":0.0003,"cloneMsPerAction":0.0047,"sortMsPerLoop":0.1942,"rssMb":157.3,"heapUsedMb":61.5,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":3.05,"generatedPerSec":24.39,"applyActionMsPerAction":0.9711,"enumerateActionsMsPerState":137.6415,"stateKeyMsPerState":0.0003,"cloneMsPerAction":0.0047,"sortMsPerLoop":0.1995,"rssMb":157.6,"heapUsedMb":35.2,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":3.1,"generatedPerSec":24.25,"applyActionMsPerAction":0.9614,"enumerateActionsMsPerState":136.9114,"stateKeyMsPerState":0.0003,"cloneMsPerAction":0.0048,"sortMsPerLoop":0.2148,"rssMb":158.6,"heapUsedMb":24,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":3.12,"generatedPerSec":24.19,"applyActionMsPerAction":0.9509,"enumerateActionsMsPerState":136.542,"stateKeyMsPerState":0.0003,"cloneMsPerAction":0.0048,"sortMsPerLoop":0.2218,"rssMb":157,"heapUsedMb":50,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":3.14,"generatedPerSec":24.14,"applyActionMsPerAction":0.9407,"enumerateActionsMsPerState":136.384,"stateKeyMsPerState":0.0003,"cloneMsPerAction":0.0049,"sortMsPerLoop":0.2218,"rssMb":158.8,"heapUsedMb":30.5,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":3.16,"generatedPerSec":24.06,"applyActionMsPerAction":0.9321,"enumerateActionsMsPerState":136.3098,"stateKeyMsPerState":0.0003,"cloneMsPerAction":0.0049,"sortMsPerLoop":0.2231,"rssMb":157.8,"heapUsedMb":39.4,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":3.18,"generatedPerSec":23.97,"applyActionMsPerAction":0.9241,"enumerateActionsMsPerState":136.3072,"stateKeyMsPerState":0.0003,"cloneMsPerAction":0.005,"sortMsPerLoop":0.2238,"rssMb":157.7,"heapUsedMb":58.1,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":3.21,"generatedPerSec":23.98,"applyActionMsPerAction":0.9141,"enumerateActionsMsPerState":135.9076,"stateKeyMsPerState":0.0003,"cloneMsPerAction":0.005,"sortMsPerLoop":0.2238,"rssMb":157.3,"heapUsedMb":43.6,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":3.25,"generatedPerSec":24.06,"applyActionMsPerAction":0.904,"enumerateActionsMsPerState":135.3206,"stateKeyMsPerState":0.0003,"cloneMsPerAction":0.005,"sortMsPerLoop":0.225,"rssMb":157.5,"heapUsedMb":30.6,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":3.34,"generatedPerSec":23.98,"applyActionMsPerAction":0.8968,"enumerateActionsMsPerState":134.7279,"stateKeyMsPerState":0.0003,"cloneMsPerAction":0.0051,"sortMsPerLoop":0.2253,"rssMb":158.3,"heapUsedMb":55.8,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":3.39,"generatedPerSec":23.97,"applyActionMsPerAction":0.8887,"enumerateActionsMsPerState":134.172,"stateKeyMsPerState":0.0003,"cloneMsPerAction":0.0051,"sortMsPerLoop":0.225,"rssMb":157.9,"heapUsedMb":48.1,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":3.43,"generatedPerSec":23.97,"applyActionMsPerAction":0.8813,"enumerateActionsMsPerState":133.7715,"stateKeyMsPerState":0.0003,"cloneMsPerAction":0.0052,"sortMsPerLoop":0.2256,"rssMb":156.9,"heapUsedMb":27.7,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":3.38,"generatedPerSec":23.81,"applyActionMsPerAction":0.8875,"enumerateActionsMsPerState":133.7877,"stateKeyMsPerState":0.0003,"cloneMsPerAction":0.0052,"sortMsPerLoop":0.2256,"rssMb":157,"heapUsedMb":42.4,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":3.33,"generatedPerSec":23.66,"applyActionMsPerAction":0.8962,"enumerateActionsMsPerState":134.0898,"stateKeyMsPerState":0.0003,"cloneMsPerAction":0.0052,"sortMsPerLoop":0.2256,"rssMb":158,"heapUsedMb":53.7,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":3.29,"generatedPerSec":23.52,"applyActionMsPerAction":0.9055,"enumerateActionsMsPerState":134.5035,"stateKeyMsPerState":0.0003,"cloneMsPerAction":0.0052,"sortMsPerLoop":0.2282,"rssMb":159.4,"heapUsedMb":73.7,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":3.26,"generatedPerSec":23.45,"applyActionMsPerAction":0.9229,"enumerateActionsMsPerState":134.8585,"stateKeyMsPerState":0.0003,"cloneMsPerAction":0.0052,"sortMsPerLoop":0.2282,"rssMb":168.7,"heapUsedMb":80.5,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":3.25,"generatedPerSec":23.39,"applyActionMsPerAction":0.936,"enumerateActionsMsPerState":135.3693,"stateKeyMsPerState":0.0003,"cloneMsPerAction":0.0052,"sortMsPerLoop":0.2282,"rssMb":200.7,"heapUsedMb":32.8,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":3.23,"generatedPerSec":23.3,"applyActionMsPerAction":0.948,"enumerateActionsMsPerState":135.7842,"stateKeyMsPerState":0.0003,"cloneMsPerAction":0.0052,"sortMsPerLoop":0.2227,"rssMb":200,"heapUsedMb":61.8,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":3.21,"generatedPerSec":23.22,"applyActionMsPerAction":0.9555,"enumerateActionsMsPerState":136.3658,"stateKeyMsPerState":0.0002,"cloneMsPerAction":0.0052,"sortMsPerLoop":0.2227,"rssMb":199.9,"heapUsedMb":42.4,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":3.19,"generatedPerSec":23.17,"applyActionMsPerAction":0.9638,"enumerateActionsMsPerState":136.885,"stateKeyMsPerState":0.0002,"cloneMsPerAction":0.0052,"sortMsPerLoop":0.2224,"rssMb":200.9,"heapUsedMb":56.7,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":3.16,"generatedPerSec":23.06,"applyActionMsPerAction":0.9717,"enumerateActionsMsPerState":137.241,"stateKeyMsPerState":0.0002,"cloneMsPerAction":0.0052,"sortMsPerLoop":0.2224,"rssMb":200.5,"heapUsedMb":33.1,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":3.15,"generatedPerSec":23.06,"applyActionMsPerAction":0.9792,"enumerateActionsMsPerState":137.791,"stateKeyMsPerState":0.0002,"cloneMsPerAction":0.0053,"sortMsPerLoop":0.2224,"rssMb":200.8,"heapUsedMb":43.8,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":3.12,"generatedPerSec":22.99,"applyActionMsPerAction":0.9853,"enumerateActionsMsPerState":138.2934,"stateKeyMsPerState":0.0002,"cloneMsPerAction":0.0052,"sortMsPerLoop":0.2224,"rssMb":200.7,"heapUsedMb":90.8,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":3.11,"generatedPerSec":22.93,"applyActionMsPerAction":0.9955,"enumerateActionsMsPerState":139.0025,"stateKeyMsPerState":0.0002,"cloneMsPerAction":0.0053,"sortMsPerLoop":0.2264,"rssMb":200.3,"heapUsedMb":69.9,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":3.07,"generatedPerSec":22.82,"applyActionMsPerAction":1.0036,"enumerateActionsMsPerState":139.2833,"stateKeyMsPerState":0.0002,"cloneMsPerAction":0.0053,"sortMsPerLoop":0.2264,"rssMb":200.2,"heapUsedMb":63.9,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":3.06,"generatedPerSec":22.74,"applyActionMsPerAction":1.0129,"enumerateActionsMsPerState":139.6556,"stateKeyMsPerState":0.0002,"cloneMsPerAction":0.0053,"sortMsPerLoop":0.2264,"rssMb":199.3,"heapUsedMb":75.3,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":3.04,"generatedPerSec":22.66,"applyActionMsPerAction":1.0222,"enumerateActionsMsPerState":140.2127,"stateKeyMsPerState":0.0002,"cloneMsPerAction":0.0053,"sortMsPerLoop":0.2289,"rssMb":200,"heapUsedMb":44.8,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":3.02,"generatedPerSec":22.59,"applyActionMsPerAction":1.0284,"enumerateActionsMsPerState":140.7601,"stateKeyMsPerState":0.0002,"cloneMsPerAction":0.0053,"sortMsPerLoop":0.2289,"rssMb":200.7,"heapUsedMb":37.9,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":3.01,"generatedPerSec":22.55,"applyActionMsPerAction":1.0359,"enumerateActionsMsPerState":141.3453,"stateKeyMsPerState":0.0002,"cloneMsPerAction":0.0053,"sortMsPerLoop":0.2289,"rssMb":200.9,"heapUsedMb":49.4,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":2.99,"generatedPerSec":22.49,"applyActionMsPerAction":1.0411,"enumerateActionsMsPerState":141.6126,"stateKeyMsPerState":0.0002,"cloneMsPerAction":0.0053,"sortMsPerLoop":0.2305,"rssMb":200.5,"heapUsedMb":67.8,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":2.97,"generatedPerSec":22.45,"applyActionMsPerAction":1.0518,"enumerateActionsMsPerState":142.0558,"stateKeyMsPerState":0.0002,"cloneMsPerAction":0.0053,"sortMsPerLoop":0.2305,"rssMb":200.7,"heapUsedMb":62.9,"eventLoopUtilization":0}
